name,description,type,postalCode,address,phoneNumber,longitude,latitude,url,imageUrl,/end
松戸運動公園,,スポーツ施設,271-0064,松戸市上本郷4434,047-363-9241,35.796328,139.925185,http://www.city.matsudo.chiba.jp/shisetsu-guide/sports/unndoukouen.html,https://upload.wikimedia.org/wikipedia/ja/thumb/1/16/Matsudo_undoukouen_02.jpg/280px-Matsudo_undoukouen_02.jpg,
柿ノ木台公園体育館,,スポーツ施設,271-0092,松戸市松戸594-7,047-331-1131,35.77304,139.903325,,,
金ケ作公園庭球場,,スポーツ施設,270-2261,松戸市常盤平3-27-1,047-387-2131,35.798832,139.954839,,,
紙敷庭球場,,スポーツ施設,270-2221,松戸市紙敷2-1-1,047-363-9241,35.774851,139.953624,,,
栗ヶ沢公園庭球場,,スポーツ施設,270-0021,松戸市小金原8-26,047-342-0945,35.813547,139.944174,,,
クリーンセンター内スポーツ施設,,スポーツ施設,270-2201,松戸市高柳新田３７番地,047-385-7100,35.805813,139.987144,,,
古ヶ崎河川敷スポーツ広場,,スポーツ施設,,松戸市古ヶ崎地先,047-363-9241,35.800725,139.892564,,,
小金原体育館,,スポーツ施設,270-0021,松戸市小金原6-4-1,047-341-2242,35.819112,139.946138,,,
新松戸庭球場,,スポーツ施設,271-0042,松戸市主水新田477-3,047-343-5111,35.81847,139.896501,,,
新松戸プール,,スポーツ施設,270-0035,松戸市新松戸南2-3,047-363-9241,35.821304,139.911355,,,
青少年会館体育室,,スポーツ施設,270-0035,松戸市新松戸南２－２,047-344-8556,35.821323,139.91201,,,
千駄堀暫定スポーツ広場,,スポーツ施設,,,,35.805524,139.934406,,,
中央ゲートボール場,,スポーツ施設,270-2266,松戸市常盤平西窪町26,047-385-2660,35.794912,139.942761,,,
東部スポーツパーク,,スポーツ施設,270-2222,松戸市高塚新田４２７番地,047-391-0944,35.764025,139.937611,,,
常盤平体育館,,スポーツ施設,270-2264,松戸市常盤平松葉町1-3,047-386-0111,35.794934,139.945462,,,
松戸中央公園,,スポーツ施設,271-0076,松戸市岩瀬487-1,047-363-9241,35.782597,139.903169,,,
和名ケ谷スポーツセンター,,スポーツ施設,270-2232,松戸市和名ケ谷１３６０番地,047-391-5990,35.777128,139.918923,,,
松戸市市民交流会館（運動施設）,,スポーツ施設,270-0034,松戸市新松戸5-179-1,047-349-6530,35.8302137,139.9083172,,,
明市民センター,,市民センター,271-0064,松戸市上本郷2676番地の6,047-368-6700,35.790145,139.915998,,,
古ヶ崎市民センター,,市民センター,271-0068,松戸市古ヶ崎4丁目3490番地,047-367-7700,35.803498,139.900884,,,
小金北市民センター,,市民センター,270-0007,松戸市中金杉二丁目159番地の2,047-343-3191,35.839824,139.926354,,,
小金市民センター,,市民センター,270-0013,松戸市小金きよしヶ丘3丁目1番地の1,047-343-8641,35.828561,139.933784,,,
小金原市民センター,,市民センター,270-0021,松戸市小金原6丁目6番地の2,047-344-8268,35.819116,139.944288,,,
五香市民センター,,市民センター,270-2213,松戸市五香二丁目35番地の5,047-386-8300,35.795617,139.972322,,,
新松戸市民センター,,市民センター,270-0034,松戸市新松戸3丁目27番地,047-343-6500,35.826397,139.912812,,,
東部市民センター,,市民センター,270-2222,松戸市高塚新田494番地の9,047-391-3701,35.758127,139.935171,,,
常盤平市民センター,,市民センター,270-2261,松戸市常盤平3丁目30番地,047-387-2529,35.798678,139.952562,,,
二十世紀が丘市民センター,,市民センター,271-0085,松戸市二十世紀が丘中松町2番地,047-392-7021,35.771487,139.908393,,,
八ヶ崎市民センター,,市民センター,270-0023,松戸市八ヶ崎5丁目15番地の1,047-348-6667,35.808778,139.934779,,,
松飛台市民センター,,市民センター,270-2214,松戸市松飛台210番地の2,047-386-6000,35.784826,139.964726,,,
馬橋市民センター,,市民センター,271-0046,松戸市西馬橋蔵元町177番地,047-342-9690,35.814098,139.912431,,,
馬橋東市民センター,,市民センター,271-0051,松戸市馬橋1854番地の3,047-346-2055,35.808443,139.919523,,,
稔台市民センター,,市民センター,270-2231,松戸市稔台7丁目1番地の5,047-367-6420,35.788217,139.929423,,,
六実市民センター,,市民センター,270-2203,松戸市六高台3丁目71番地,047-385-0116,35.796348,139.990365,,,
八柱市民センター,,市民センター,270-2267,松戸市牧の原一丁目193番地の6,047-388-3570,35.790232,139.946162,,,
松戸市立図書館本館,,図書館,271-0092,松戸市松戸2060,047-365-5115,35.785835,139.895955,,,
松戸市立明分館,,図書館,271-0064,松戸市上本郷2676-6,047-368-6705,35.790146,139.915997,,,
松戸市立古ヶ崎分館,,図書館,271-0068,松戸市古ヶ崎4-3490,047-367-4500,35.803542,139.900898,,,
